,Location,Building Model,Overlay District,Improvements,Land,Total
9628,11 RICHARD RD,Residential,,11.64021164021164,9.986320109439124,10.326086956521738
10477,61 SPRING ST,Residential,,0.9216589861751152,10.01926782273603,5.876180482686253
2215,45 CIRCLE RD,Residential,,20.481927710843372,10.052910052910052,13.904338153503893
4954,9 HANCOCK AVE,Residential,,11.304347826086957,10.061349693251534,10.21505376344086
10759,30 TAFT AVE,Residential,,16.87041564792176,9.84251968503937,12.977099236641221
1719,99 BURLINGTON ST,Residential,,15.625,10.018552875695732,12.351029252437703
9085,52 PERCY RD,Residential,,16.0,9.287531806615776,10.363247863247864
455,2 BALLARD TER,Residential,,14.83050847457627,10.029069767441861,11.255411255411255
262,14 APPLETREE LN,Residential,,15.143603133159269,9.947643979057592,12.02928870292887
5523,4 HILLTOP AVE,Residential,,15.682281059063136,9.868421052631579,12.882787750791975
7264,40 MARRETT RD,Residential,,15.2317880794702,9.98389694041868,11.700975081256772
2504,560 CONCORD AVE,Residential,,17.270194986072422,9.814814814814815,12.791991101223582
11893,9 WHIPPLE RD,Residential,,15.017064846416384,10.0,11.592632719393283
360,3 AUDUBON RD,Residential,,10.861423220973784,10.029940119760479,10.267379679144385
200,75 ALLEN ST,Residential,,11.396011396011396,9.965635738831615,10.503751339764202
6150,20 LAWRENCE LN,Residential,,20.618556701030926,10.033444816053512,13.498312710911136
3355,20 ELDRED ST,Residential,,11.974110032362459,9.884678747940692,10.58951965065502
7226,215 MARRETT RD,Residential,,15.777262180974477,10.0,12.703583061889251
5642,15 HUTCHINSON RD,Residential,,52.34375,9.982174688057041,23.25581395348837
6384,127 LINCOLN ST,Residential,,15.07537688442211,9.75609756097561,11.934156378600823
947,533 BEDFORD ST,Residential,,11.838790931989925,9.902912621359224,10.74561403508772
11768,24 WEBSTER RD,Residential,,14.666666666666666,10.03584229390681,11.89710610932476
10099,54 SHADE ST,Residential,,11.48036253776435,9.917355371900827,10.47008547008547
3929,26 FARMCREST AVE,Residential,,15.521628498727736,9.919028340080972,12.401352874859075
10863,16 THOREAU RD,Residential,,11.221122112211221,9.984152139461171,10.385438972162742
2914,15 DIAMOND RD,Residential,,21.897810218978105,9.85691573926868,13.510520487264674
5072,37 HARDING RD,Residential,,15.873015873015872,10.016420361247947,12.012987012987013
3808,18 FAIR OAKS TER,Residential,,14.981273408239701,10.030395136778116,11.45945945945946
2200,20 CIRCLE RD,Residential,,17.22222222222222,9.981167608286253,12.906846240179574
10819,60 TARBELL AVE,Residential,,11.538461538461538,10.079051383399209,10.66350710900474
4132,40 FLETCHER AVE,Residential,,11.347517730496454,9.861932938856016,10.53763440860215
11033,37 TURNING MILL RD,Residential,,9.090909090909092,10.032362459546926,9.719222462203025
3951,46 FARMCREST AVE,Residential,,-1.0893246187363834,10.079051383399209,4.766839378238342
11026,48 TURNING MILL RD,Residential,,22.60536398467433,10.032362459546926,13.765642775881684
4128,16 FLETCHER AVE,Residential,,11.31578947368421,10.053859964093357,10.56563500533618
339,64 ASBURY ST,Residential,,15.757575757575756,10.1010101010101,12.121212121212121
9549,47 REED ST,Residential,,11.374407582938389,10.097087378640776,10.672358591248667
3792,17 FAIR OAKS DR,Residential,,17.62589928057554,9.953343701399689,12.26927252985885
1593,19 BRYANT RD,Residential,,16.727272727272727,10.01589825119237,12.057522123893804
10415,SPENCER ST, ,,,9.711846318036287,9.711846318036287
8772,33 OXBOW RD,Residential,,12.690355329949238,9.796672828096119,11.016042780748663
6755,LOWELL ST, ,,,6.106106106106106,6.106106106106106
6610,4 LOCKE LN,Residential,,14.930555555555555,10.01589825119237,11.559432933478735
9483,18 REDCOAT LN,Residential,,17.263843648208468,10.0,12.486064659977703
9504,84 REED ST,Residential,,15.853658536585366,9.941520467836257,12.56771397616468
6616,11 LOCKWOOD RD,Residential,,11.481481481481481,9.97920997920998,10.51930758988016
7716,1027 MASSACHUSETTS AVE,Res Condo,,1.1090573012939002,,1.1090573012939002
4319,8 FOSTER RD,Residential,,10.891089108910892,9.959072305593452,10.16042780748663
7600,275 MASSACHUSETTS AVE,Industrial,VO,5.764966740576496,3.4608378870673953,4.5
6778,303 LOWELL ST,Residential,,11.80722891566265,10.040160642570282,10.843373493975903
11947,15 WHITTIER RD,Residential,,15.714285714285714,9.67741935483871,11.493018259935553
7743,1299 MASSACHUSETTS AVE,Residential,,11.469534050179211,9.968847352024921,10.423452768729643
735,10 BEDFORD ST,Residential,,11.405295315682281,10.022271714922049,10.74468085106383
10205,14-16 SHERMAN ST #2,Res Condo,,-7.611548556430446,,-7.611548556430446
9133,37 PHILIP RD,Residential,,17.421602787456447,10.034013605442176,12.457142857142857
7221,259 MARRETT RD,Residential,,10.973084886128365,10.0,10.509209100758396
1063,37 BERNARD ST,Residential,,15.812917594654788,9.873949579831933,12.756756756756756
2919,10 DIAMOND RD,Residential,,22.442244224422442,10.06825938566553,14.285714285714285
2961,16 DORAN FARM LN,Res Condo,,9.541062801932366,,9.541062801932366
2135,60 CHASE AVE,Residential,,11.83574879227053,10.0,10.831509846827133
2807,5 DEERING AVE,Residential,,15.761821366024517,9.9601593625498,13.047530288909599
445,11 BALLARD TER,Residential,,16.591928251121075,9.883720930232558,11.525795828759605
6851,391 LOWELL ST,Residential,,20.48780487804878,9.850107066381156,14.823261117445838
11348,28 VOLUNTEER WAY,Residential,,17.49271137026239,10.035211267605634,12.843029637760702
8477,359 NORTH EMERSON RD,Residential,,22.382671480144403,10.048622366288493,13.870246085011187
4570,7 GOULD RD,Residential,,21.223021582733814,10.0,13.474387527839642
10790,50 TAFT AVE,Residential,,11.458333333333332,9.977324263038549,10.666666666666668
1095,104 BERTWELL RD,Residential,,11.904761904761903,10.063897763578275,10.652173913043478
6189,21 LEDGELAWN AVE,Residential,,11.782477341389729,10.034013605442176,10.663764961915124
8527,5 NORTH ST,Residential,,15.421686746987953,9.9609375,12.405609492988134
11600,942 WALTHAM ST,Residential,VO,11.799999999999999,10.0,10.967741935483872
10318,7 SMITH FARM LN,Res Condo,,1.749271137026239,,1.749271137026239
3023,39 DOWNING RD,Residential,,11.594202898550725,10.0,10.475161987041037
6144,4 LAWRENCE LN,Residential,,15.873015873015872,10.018214936247723,12.405609492988134
9597,23 REVERE ST,Residential,,11.450381679389313,10.054844606946983,10.638297872340425
6139,21 LEDGELAWN AVE,Residential,,11.782477341389729,10.034013605442176,10.663764961915124
7343,472 MARRETT RD,Residential,,11.383928571428571,9.919028340080972,10.615711252653929
7283,261 MARRETT RD,Residential,,-0.992063492063492,10.06423982869379,4.325437693099897
8467,353 NORTH EMERSON RD,Residential,,21.352313167259787,10.032362459546926,13.5706340378198
1330,14 BLUEBERRY LN,Residential,,20.0,9.82839313572543,12.723214285714285
7178,9 MARLBORO RD,Residential,,10.995850622406639,10.042735042735043,10.526315789473683
12395,12 WOODLAND RD,Residential,,11.952191235059761,9.955423476968797,10.497835497835498
2943,25 DONALD ST,Residential,,15.721649484536082,10.0,12.392241379310345
2732,16 CUTLER FARM RD,Residential,,11.797752808988763,9.9644128113879,10.675381263616558
8994,38 PEACOCK FARM RD,Residential,,22.330097087378643,10.120068610634648,14.349775784753364
11785,19 WEBSTER RD,Residential,,15.789473684210526,10.0,12.729234088457389
11379,21 WACHUSETT DR,Residential,,11.76470588235294,9.984639016897082,10.509209100758396
6416,257 LINCOLN ST,Residential,,15.759312320916905,9.621993127147768,11.92266380236305
4580,5 GRAHAM RD,Residential,,14.893617021276595,10.0,11.733046286329387
3366,12 ELENA RD,Residential,,14.734299516908212,10.01926782273603,12.111468381564846
12180,127 WOBURN ST,Residential,,11.61137440758294,10.0,10.721868365180468
10560,2 STEVENS RD,Residential,,16.585365853658537,10.097087378640776,12.972972972972974
1187,73 BLAKE RD,Residential,,11.956521739130435,10.061919504643962,10.629067245119305
9833,12 RUMFORD RD,Residential,,22.463768115942027,9.967845659163988,13.808463251670378
10019,22 SEABORN PL,Res Condo,,5.373831775700935,,5.373831775700935
12259,333 WOBURN ST,Commercial,,3.474903474903475,3.3932135728542914,3.434739941118744
259,7 APPLETREE LN,Residential,,11.31578947368421,9.946714031971581,10.498409331919406
