,Location,Building Model,Overlay District,Improvements,Land,Total
2780,1 DAWES RD,Residential,,6.392694063926941,9.931506849315069,8.414872798434441
8053,89 MERIAM ST,Residential,,13.368983957219251,9.988901220865705,11.2859097127223
7285,64 MARRETT RD,Residential,,13.202933985330073,10.0,11.760752688172044
12270,359 WOBURN ST,Residential,,16.06714628297362,9.95260663507109,13.428766189502387
6902,554 LOWELL ST,Residential,,12.008733624454148,10.0,11.229946524064172
1880,3 CARNEGIE PL,Residential,,11.442193087008343,9.95475113122172,10.785619174434089
7359,445 MARRETT RD,Residential,,5.8232931726907635,10.09009009009009,7.35009671179884
1468,14 BRENT RD,Residential,,6.437125748502994,10.034602076124568,8.469055374592834
6291,66 LIBERTY AVE,Residential,,6.385696040868455,10.052910052910052,8.187134502923977
6070,15 LARCHMONT LN,Residential,,111.22881355932203,10.049423393739703,54.30954587581094
8223,21 MINUTE MAN LN,Residential,,30.70539419087137,9.923664122137405,20.827285921625542
12103,44 WINTER ST,Residential,,5.263157894736842,10.099337748344372,7.142857142857142
1617,46 BUCKMAN DR,Residential,,6.371681415929204,10.020661157024794,8.67579908675799
7685,905 MASSACHUSETTS AVE,Residential,,4.638619201725998,10.126582278481013,6.8633739576651696
615,17 BATES RD,Residential,,16.084977238239755,9.866017052375152,12.635135135135133
12148,48 WINTHROP RD,Residential,,7.28476821192053,9.924487594390508,8.883082952318746
2195,18 CIDER MILL LN,Residential,,16.164053075995174,10.0,13.4785568413887
1821,25 CALVIN ST,Residential,,14.814814814814813,10.0,12.635135135135133
11283,26 VINE BROOK RD,Residential,,6.58682634730539,10.023041474654377,8.528645833333332
10962,23 TUFTS RD,Residential,,12.799043062200957,10.015174506828528,11.57190635451505
9926,41 SANDERSON RD,Residential,,6.364922206506366,9.963985594237695,8.311688311688311
4243,132 FOLLEN RD,Residential,,6.408094435075886,9.968186638388122,8.59375
8507,95 NORTH HANCOCK ST,Residential,,-0.7261410788381742,9.891808346213292,3.5381750465549344
8078,77 MERIAM ST,Residential,,6.615384615384616,9.92108229988726,8.523096942094991
4301,43 FOREST ST,Residential,,6.821480406386067,10.035419126328216,8.59375
10143,56 SHERBURNE RD S,Residential,,2.628120893561104,10.049627791563276,6.445437141033823
10162,56 SHERBURNE RD S,Residential,,2.628120893561104,10.049627791563276,6.445437141033823
11944,14 WHITTIER RD,Residential,,6.588235294117648,10.115606936416185,8.171206225680933
4792,32 GREENWOOD ST,Residential,,6.507592190889371,9.92,7.88623141564318
498,35 BARBERRY RD,Residential,,12.762762762762764,9.940119760479043,11.192538307794804
371,17 AUGUSTUS RD,Residential,,16.083916083916083,9.960681520314548,12.922868741542626
12359,11 WOODCLIFFE RD,Residential,,16.24685138539043,9.867452135493373,13.306177868295995
1798,3 BUTTERFIELD RD,Residential,,13.141993957703926,9.904534606205251,11.333333333333332
4833,46 GROVE ST,Residential,,16.25163826998689,9.97191011235955,13.220338983050848
10928,9 TRODDEN PATH,Residential,,6.5462753950338595,10.0,8.020698576972833
620,11 BATES RD,Residential,,12.189054726368159,10.028653295128938,11.18508655126498
6742,232 LOWELL ST,Residential,,16.204690831556505,9.848484848484848,13.915416098226466
11489,194 WALTHAM ST,Residential,,5.567451820128479,9.967845659163988,7.326478149100257
6069,7 LARCHMONT LN,Residential,,10.409745293466225,9.9510603588907,10.224274406332453
3958,7 FERN ST,Residential,,6.885919835560124,10.12216404886562,8.085381630012936
1563,9 BROOKWOOD RD,Residential,,2.278820375335121,10.06060606060606,6.365372374283895
9859,3 RYDER LN,Residential,,6.521739130434782,10.049627791563276,8.365758754863812
4491,47 GLEASON RD,Residential,,13.118811881188119,10.029069767441861,11.697860962566844
11107,3-5 UTICA ST #3,Res Condo,,2.578268876611418,,2.578268876611418
5486,42 HILL ST,Residential,,14.857881136950905,9.985935302390999,12.525252525252526
5658,3 IDYLWILDE RD,Residential,,6.406685236768802,9.927360774818402,8.290155440414509
